pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
6wks,../pdb/methyltransferase-nsp10/SARS-CoV-2/6wks,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6wks,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1693,0.1871
6wrz,../pdb/methyltransferase-nsp10/SARS-CoV-2/6wrz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6wrz,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.25,,0.162,0.1902
7c2j,../pdb/methyltransferase-nsp10/SARS-CoV-2/7c2j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/7c2j,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.79,,0.2021,0.2349
6w61,../pdb/methyltransferase-nsp10/SARS-CoV-2/6w61,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6w61,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.1706,0.193
6w4h,../pdb/methyltransferase-nsp10/SARS-CoV-2/6w4h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6w4h,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.149,0.1627
6wq3,../pdb/methyltransferase-nsp10/SARS-CoV-2/6wq3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6wq3,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1661,0.1859
6yz1,../pdb/methyltransferase-nsp10/SARS-CoV-2/6yz1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6yz1,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.4,,0.1866,0.2256
6wkq,../pdb/methyltransferase-nsp10/SARS-CoV-2/6wkq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6wkq,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.98,,0.1623,0.1799
6w75,../pdb/methyltransferase-nsp10/SARS-CoV-2/6w75,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV-2/6w75,methyltransferase-nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,1.95,,0.1573,0.1745
3r24,../pdb/methyltransferase-nsp10/SARS-CoV/3r24,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV/3r24,methyltransferase-nsp10,SARS-CoV,X-RAY DIFFRACTION,1,2.0,,0.193,0.222
2xyv,../pdb/methyltransferase-nsp10/SARS-CoV/2xyv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV/2xyv,methyltransferase-nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.05,,0.2004,0.23361
2xyq,../pdb/methyltransferase-nsp10/SARS-CoV/2xyq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV/2xyq,methyltransferase-nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.21315,0.22675
2xyr,../pdb/methyltransferase-nsp10/SARS-CoV/2xyr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/methyltransferase-nsp10/SARS-CoV/2xyr,methyltransferase-nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.20087,0.23517
6zct,../pdb/nsp10/SARS-CoV-2/6zct,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV-2/6zct,nsp10,SARS-CoV-2,X-RAY DIFFRACTION,0,2.55,,0.1895,0.1946
2g9t,../pdb/nsp10/SARS-CoV/2g9t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV/2g9t,nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.1,,0.217,0.247
2fyg,../pdb/nsp10/SARS-CoV/2fyg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV/2fyg,nsp10,SARS-CoV,X-RAY DIFFRACTION,0,1.8,,0.19577,0.23295
2ga6,../pdb/nsp10/SARS-CoV/2ga6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp10/SARS-CoV/2ga6,nsp10,SARS-CoV,X-RAY DIFFRACTION,0,2.7,,0.219,0.267
6wey,../pdb/nsp3/SARS-CoV-2/6wey,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wey,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,0.95,,0.1191,0.1362
6w6y,../pdb/nsp3/SARS-CoV-2/6w6y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6w6y,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.45,,0.1421,0.1891
6wx4,../pdb/nsp3/SARS-CoV-2/6wx4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wx4,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1696,0.1958
6w02,../pdb/nsp3/SARS-CoV-2/6w02,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6w02,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.1496,0.1729
6wcf,../pdb/nsp3/SARS-CoV-2/6wcf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wcf,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.065,,0.1254,0.1537
6ywl,../pdb/nsp3/SARS-CoV-2/6ywl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6ywl,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.5,,0.1889,0.2232
6wuu,../pdb/nsp3/SARS-CoV-2/6wuu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wuu,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.79,,0.1952,0.2297
6xg3,../pdb/nsp3/SARS-CoV-2/6xg3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6xg3,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.48,,0.1513,0.193
6ywm,../pdb/nsp3/SARS-CoV-2/6ywm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6ywm,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.16,,0.1752,0.2292
6wrh,../pdb/nsp3/SARS-CoV-2/6wrh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wrh,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1234,0.1643
6vxs,../pdb/nsp3/SARS-CoV-2/6vxs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6vxs,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,1,2.01,,0.1864,0.2335
6wzu,../pdb/nsp3/SARS-CoV-2/6wzu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wzu,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.16,0.1741
6wen,../pdb/nsp3/SARS-CoV-2/6wen,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6wen,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,1.35,,0.1036,0.1441
6xa9,../pdb/nsp3/SARS-CoV-2/6xa9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6xa9,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.9,,0.1997,0.2305
6woj,../pdb/nsp3/SARS-CoV-2/6woj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6woj,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.1993,0.2519
6ywk,../pdb/nsp3/SARS-CoV-2/6ywk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6ywk,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.1763,0.2139
6w9c,../pdb/nsp3/SARS-CoV-2/6w9c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6w9c,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,1,2.7,,0.2351,0.3088
6xaa,../pdb/nsp3/SARS-CoV-2/6xaa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6xaa,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,2.7,,0.2096,0.2599
6yva,../pdb/nsp3/SARS-CoV-2/6yva,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV-2/6yva,nsp3,SARS-CoV-2,X-RAY DIFFRACTION,0,3.18,,0.2741,0.3153
4mm3,../pdb/nsp3/SARS-CoV/4mm3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/4mm3,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.75,,0.1872,0.2787
4m0w,../pdb/nsp3/SARS-CoV/4m0w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/4m0w,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,1.4,,0.15562,0.17983
3e9s,../pdb/nsp3/SARS-CoV/3e9s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/3e9s,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.196,0.261
2fav,../pdb/nsp3/SARS-CoV/2fav,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2fav,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,1.8,,0.162,0.206
4ow0,../pdb/nsp3/SARS-CoV/4ow0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/4ow0,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.1,,0.176,0.2045
5y3e,../pdb/nsp3/SARS-CoV/5y3e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/5y3e,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.16175,0.19931
2acf,../pdb/nsp3/SARS-CoV/2acf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2acf,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,1.4,,0.16414,0.18916
2kqv,../pdb/nsp3/SARS-CoV/2kqv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2kqv,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
2idy,../pdb/nsp3/SARS-CoV/2idy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2idy,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
2kqw,../pdb/nsp3/SARS-CoV/2kqw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2kqw,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
3mj5,../pdb/nsp3/SARS-CoV/3mj5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/3mj5,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.65,,0.2085,0.24816
2wct,../pdb/nsp3/SARS-CoV/2wct,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2wct,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.2233,0.2399
2jzd,../pdb/nsp3/SARS-CoV/2jzd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2jzd,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
2jze,../pdb/nsp3/SARS-CoV/2jze,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2jze,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
2k87,../pdb/nsp3/SARS-CoV/2k87,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2k87,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
2jzf,../pdb/nsp3/SARS-CoV/2jzf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2jzf,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
5y3q,../pdb/nsp3/SARS-CoV/5y3q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/5y3q,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.14667,0.18405
2gri,../pdb/nsp3/SARS-CoV/2gri,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2gri,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
5e6j,../pdb/nsp3/SARS-CoV/5e6j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/5e6j,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.85,,0.2323,0.2643
2w2g,../pdb/nsp3/SARS-CoV/2w2g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2w2g,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.22,,0.211,0.268
4ovz,../pdb/nsp3/SARS-CoV/4ovz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/4ovz,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.1821,0.2429
2fe8,../pdb/nsp3/SARS-CoV/2fe8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2fe8,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,1.85,,0.201,0.229
2rnk,../pdb/nsp3/SARS-CoV/2rnk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2rnk,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
5tl6,../pdb/nsp3/SARS-CoV/5tl6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/5tl6,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.618,,0.1909,0.2496
2kaf,../pdb/nsp3/SARS-CoV/2kaf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/2kaf,nsp3,SARS-CoV,SOLUTION NMR,0,,,,
5tl7,../pdb/nsp3/SARS-CoV/5tl7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp3/SARS-CoV/5tl7,nsp3,SARS-CoV,X-RAY DIFFRACTION,0,2.44,,0.19211,0.26744
2kys,../pdb/nsp7/SARS-CoV/2kys,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7/SARS-CoV/2kys,nsp7,SARS-CoV,SOLUTION NMR,0,,,,
1ysy,../pdb/nsp7/SARS-CoV/1ysy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp7/SARS-CoV/1ysy,nsp7,SARS-CoV,SOLUTION NMR,0,,,,
6wtc,../pdb/nsp8-nsp7/SARS-CoV-2/6wtc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8-nsp7/SARS-CoV-2/6wtc,nsp8-nsp7,SARS-CoV-2,X-RAY DIFFRACTION,0,1.85,,0.1868,0.2141
6wiq,../pdb/nsp8-nsp7/SARS-CoV-2/6wiq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8-nsp7/SARS-CoV-2/6wiq,nsp8-nsp7,SARS-CoV-2,X-RAY DIFFRACTION,0,2.85,,0.2082,0.2523
5f22,../pdb/nsp8-nsp7/SARS-CoV/5f22,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8-nsp7/SARS-CoV/5f22,nsp8-nsp7,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.2119,0.2523
2ahm,../pdb/nsp8-nsp7/SARS-CoV/2ahm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp8-nsp7/SARS-CoV/2ahm,nsp8-nsp7,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.213,0.251
6wxd,../pdb/nsp9/SARS-CoV-2/6wxd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6wxd,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,2.0,,0.2145,0.2534
6w4b,../pdb/nsp9/SARS-CoV-2/6w4b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6w4b,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,1,2.9,,0.2398,0.276
6w9q,../pdb/nsp9/SARS-CoV-2/6w9q,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV-2/6w9q,nsp9,SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.2327,0.2459
3ee7,../pdb/nsp9/SARS-CoV/3ee7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV/3ee7,nsp9,SARS-CoV,X-RAY DIFFRACTION,0,2.6,,0.216,0.268
1qz8,../pdb/nsp9/SARS-CoV/1qz8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV/1qz8,nsp9,SARS-CoV,X-RAY DIFFRACTION,0,2.7,,0.24792,0.28035
1uw7,../pdb/nsp9/SARS-CoV/1uw7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nsp9/SARS-CoV/1uw7,nsp9,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.228,0.314
6wji,../pdb/nucleocapsid_protein/SARS-CoV-2/6wji,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV-2/6wji,nucleocapsid_protein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.1869,0.2275
2jw8,../pdb/nucleocapsid_protein/SARS-CoV/2jw8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2jw8,nucleocapsid_protein,SARS-CoV,SOLUTION NMR,0,,,,
2cjr,../pdb/nucleocapsid_protein/SARS-CoV/2cjr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2cjr,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.256,0.269
2gib,../pdb/nucleocapsid_protein/SARS-CoV/2gib,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2gib,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,1.75,,0.18726,0.23451
1ssk,../pdb/nucleocapsid_protein/SARS-CoV/1ssk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/1ssk,nucleocapsid_protein,SARS-CoV,SOLUTION NMR,0,,,,
2ofz,../pdb/nucleocapsid_protein/SARS-CoV/2ofz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2ofz,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,1.17,,0.16244,0.19132
2og3,../pdb/nucleocapsid_protein/SARS-CoV/2og3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/nucleocapsid_protein/SARS-CoV/2og3,nucleocapsid_protein,SARS-CoV,X-RAY DIFFRACTION,0,1.85,,0.19904,0.24711
6xdc,../pdb/orf3a_protein/SARS-CoV-2/6xdc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/orf3a_protein/SARS-CoV-2/6xdc,orf3a_protein,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
5xes,../pdb/protein_e/SARS-CoV/5xes,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/protein_e/SARS-CoV/5xes,protein_e,SARS-CoV,SOLUTION NMR,0,,,,
5x29,../pdb/protein_e/SARS-CoV/5x29,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/protein_e/SARS-CoV/5x29,protein_e,SARS-CoV,SOLUTION NMR,0,,,,
5xer,../pdb/protein_e/SARS-CoV/5xer,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/protein_e/SARS-CoV/5xer,protein_e,SARS-CoV,SOLUTION NMR,0,,,,
2mm4,../pdb/protein_e/SARS-CoV/2mm4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/protein_e/SARS-CoV/2mm4,protein_e,SARS-CoV,SOLUTION NMR,0,,,,
7bw4,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bw4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bw4,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.7,,,
7c2k,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7c2k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7c2k,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.93,,,
7btf,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7btf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7btf,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,1,2.95,,,
7bv1,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bv1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bv1,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,1,2.8,,,
7bv2,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bv2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bv2,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,1,2.5,,,
6m71,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6m71,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6m71,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,1,2.9,,,
6yyt,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6yyt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6yyt,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,2.9,,,
7bzf,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bzf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/7bzf,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.26,,,
6x2g,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6x2g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV-2/6x2g,rna_polymerase-nsp7-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.53,,,
6nur,../pdb/rna_polymerase-nsp7-nsp8/SARS-CoV/6nur,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp7-nsp8/SARS-CoV/6nur,rna_polymerase-nsp7-nsp8,SARS-CoV,ELECTRON MICROSCOPY,1,3.1,,,
6nus,../pdb/rna_polymerase-nsp8/SARS-CoV-2/6nus,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/rna_polymerase-nsp8/SARS-CoV-2/6nus,rna_polymerase-nsp8,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.5,,,
6z43,../pdb/surface_glycoprotein/SARS-CoV-2/6z43,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6z43,surface_glycoprotein,SARS-CoV-2,ELECTRON MICROSCOPY,0,3.3,,,
6yla,../pdb/surface_glycoprotein/SARS-CoV-2/6yla,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6yla,surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,0,2.42,,0.2127,0.2367
6lvn,../pdb/surface_glycoprotein/SARS-CoV-2/6lvn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6lvn,surface_glycoprotein,SARS-CoV-2,X-RAY DIFFRACTION,1,2.469,,0.2148,0.258
6acd,../pdb/surface_glycoprotein/SARS-CoV/6acd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acd,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.9,,,
3scl,../pdb/surface_glycoprotein/SARS-CoV/3scl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3scl,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,3.0,,0.23881,0.29178
1zv7,../pdb/surface_glycoprotein/SARS-CoV/1zv7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/1zv7,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,1.7,,0.209,0.258
2rum,../pdb/surface_glycoprotein/SARS-CoV/2rum,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2rum,surface_glycoprotein,SARS-CoV,SOLUTION NMR,0,,,,
5x5b,../pdb/surface_glycoprotein/SARS-CoV/5x5b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5x5b,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.7,,,
